,user,text,favorite_count,retweet_count,created_at
155,elonmusk,@TeslaHype I’m testing it today in Palo Alto,2089,83,2022-09-13 16:56:16+00:00
156,elonmusk,Rome show is underappreciated https://t.co/oqd3B6O5Mw,21442,1235,2022-09-13 16:51:22+00:00
157,elonmusk,"@Tesmanian_com This was harder than reaching volume production, which was insanely hard",6654,292,2022-09-13 16:42:49+00:00
158,elonmusk,🍿,50859,3876,2022-09-13 14:48:08+00:00
159,elonmusk,@HardcoreHistory There is appetite for an infinite number of interesting tweets,7430,397,2022-09-13 01:59:35+00:00
160,elonmusk,@BillyM2k 🤣,13382,366,2022-09-13 01:57:42+00:00
161,elonmusk,Take a moment to … https://t.co/R3hK5u4UW6,376038,29805,2022-09-13 00:16:11+00:00
162,elonmusk,The residual value of gasoline cars bought today will be much lower than people think,38362,2420,2022-09-12 22:19:11+00:00
163,elonmusk,@EvaFoxU Supercharger centers with solar &amp; batteries are the long-term vision,11881,766,2022-09-12 22:13:56+00:00
164,elonmusk,Won’t be long before we view gasoline cars the same way we view steam engines today,183538,14704,2022-09-12 20:07:08+00:00
165,elonmusk,@TrimontiumTrust @HardcoreHistory Socrates can be a little boring tbh,8142,341,2022-09-12 19:45:34+00:00
166,elonmusk,@ICannot_Enough @ilyasut Yes,2582,98,2022-09-12 17:50:09+00:00
167,elonmusk,"@ilyasut Our view of reality is always wrong, just a question of how wrong",23261,2180,2022-09-12 17:44:52+00:00
168,elonmusk,@teslaownersSV @cb_doge @Tesla @mayemusk I guess we could make Joe mode quieter,3801,173,2022-09-12 05:44:11+00:00
169,elonmusk,"@cb_doge @Tesla @mayemusk Still doing same thing, but bigger",59259,2215,2022-09-12 05:43:02+00:00
170,elonmusk,Looks good to roll out to all Tesla owners with 10.12.2 (~100k cars)!,21198,1065,2022-09-12 04:19:57+00:00
171,elonmusk,@Tesla__Mania @WholeMarsBlog That is probably the right order of magnitude,1986,95,2022-09-12 03:25:03+00:00
172,elonmusk,@WholeMarsBlog Real-world validation &amp; billions of miles of real-world training are what will make FSD superhuman,5054,433,2022-09-12 01:48:49+00:00
173,elonmusk,@Teslarati @JohnnaCrider1 Yup,19716,701,2022-09-12 01:20:59+00:00
174,elonmusk,@cb_doge @paraga Sigh,2258,127,2022-09-11 21:34:12+00:00
175,elonmusk,"FSD Beta 10.69.2 rolling out now. Please note that top priority is safety, so expect it to be overly cautious, especially around pedestrians.",47926,3357,2022-09-11 21:31:34+00:00
176,elonmusk,Falcon arching to orbit https://t.co/m7grug8FV9,183534,12261,2022-09-11 03:00:14+00:00
177,elonmusk,No obvious limit to rocket reflight so far https://t.co/rBrcyjxJea,47177,3550,2022-09-11 02:29:13+00:00
178,elonmusk,@Austen Instagram is an envy amplifier,82993,6958,2022-09-11 00:11:00+00:00
179,elonmusk,@DirtyTesLa @WholeMarsBlog Yes,2270,78,2022-09-10 21:09:13+00:00
180,elonmusk,"@WholeMarsBlog Team found a bug causing an 8% delay in detecting pedestrians at &gt;50m. That’s been fixed, so rolling out tonight.",4910,344,2022-09-10 20:46:49+00:00
181,elonmusk,@EvaFoxU 🔥🤣,2781,93,2022-09-10 17:20:36+00:00
182,elonmusk,@chicago_glenn @stevenmarkryan @WholeMarsBlog That’s pretty accurate,2615,105,2022-09-10 17:08:35+00:00
183,elonmusk,@stevenmarkryan @WholeMarsBlog Haha,2538,74,2022-09-10 17:01:49+00:00
184,elonmusk,Astronomy too,40019,1640,2022-09-10 17:00:13+00:00
185,elonmusk,"@WholeMarsBlog Internal beta rollout tonight, wider tomorrow",4881,336,2022-09-10 01:50:49+00:00
186,elonmusk,@WholeMarsBlog It’s coming!,13042,569,2022-09-10 01:09:38+00:00
187,elonmusk,Take Materials Science 101. You won’t regret it.,144083,10473,2022-09-09 23:52:33+00:00
188,elonmusk,A major Fed rate hike risks deflation,85800,6638,2022-09-09 23:40:48+00:00
189,elonmusk,@_bennettm_ Please lmk when that happens,3255,138,2022-09-09 22:32:27+00:00
190,elonmusk,"@TeslaGong Absolutely, the Tesla fleet in Australia is growing rapidly, so we do need to ramp up service in general",2705,125,2022-09-09 22:29:06+00:00
191,elonmusk,Tesla North America aiming for &gt;50% same hour service,39896,2600,2022-09-09 22:22:27+00:00
192,elonmusk,@andst7 🤣,10489,246,2022-09-09 22:19:06+00:00
193,elonmusk,@EvaFoxU @cb_doge @BillyM2k @cz_binance Anubis,1768,114,2022-09-09 21:49:28+00:00
194,elonmusk,"@BillyM2k @cz_binance Nice. I’m dressing up as a sink &amp; knocking on random doors. Once they see me, they will have no choice but to let that sink in.",32297,2201,2022-09-09 21:06:17+00:00
195,elonmusk,@SpaceX One of our most complex missions,20129,1066,2022-09-09 19:03:38+00:00
196,elonmusk,@EvasTeslaSPlaid @paraga Bot block party,24976,1077,2022-09-09 04:15:27+00:00
